ID,longitude,latitude,schatten,Gesetzt
0,8.658569444444446,49.903305555555555,hoch,0
1,8.638488888888888,49.88351111111111,hoch,0
2,8.647116666666665,49.86286944444445,niedrig,0
3,8.653972222222222,49.86331944444444,mittel,0
4,8.661725,49.872213888888886,hoch,0
5,8.658694444444444,49.87079722222222,mittel,0
6,8.661811111111112,49.86830555555556,hoch,0
7,8.662830555555557,49.872172222222225,niedrig,0
8,8.663580555555557,49.872680555555554,mittel,0
9,8.666666666666666,49.871716666666664,mittel,0
10,8.642941666666665,49.88221111111111,kein,0
11,8.668099999999999,49.86933888888889,kein,0
12,8.669683333333333,49.86802222222222,hoch,0
13,8.672227777777778,49.86890277777778,niedrig,0
14,8.672188888888888,49.870308333333334,hoch,0
15,8.623633333333334,49.84696944444445,mittel,0
16,8.629938888888889,49.847569444444446,mittel,0
17,8.638208333333333,49.853236111111116,hoch,0
18,8.636658333333333,49.85584166666667,mittel,0
19,8.644227777777777,49.85814166666667,mittel,0
20,8.636897222222222,49.881680555555555,kein,0
21,8.644219444444444,49.85735833333334,niedrig,0
22,8.643619444444443,49.85440555555556,mittel,0
23,8.642944444444444,49.85333888888889,niedrig,0
24,8.65325,49.86074722222222,kein,0
25,8.65328888888889,49.860036111111114,hoch,0
26,8.654491666666667,49.85962777777778,niedrig,0
27,8.65113611111111,49.85778333333334,kein,0
28,8.647522222222221,49.85708888888889,mittel,0
29,8.64655,49.85497222222222,hoch,0
30,8.654930555555556,49.85561111111111,hoch,0
31,8.63533611111111,49.879080555555554,kein,0
32,8.645497222222222,49.85346111111111,mittel,0
33,8.646969444444444,49.85353055555556,hoch,0
34,8.653175000000001,49.85351388888889,mittel,0
35,8.654438888888889,49.863236111111114,kein,0
36,8.659019444444445,49.86204166666667,hoch,0
37,8.662602777777778,49.86309444444444,hoch,0
38,8.660441666666667,49.86,kein,0
39,8.665552777777778,49.86551388888889,mittel,0
40,8.67513611111111,49.86743611111111,niedrig,0
41,8.67616111111111,49.86835555555555,niedrig,0
42,8.63893888888889,49.87704166666667,kein,0
43,8.654152777777778,49.89631111111111,niedrig,0
44,8.625469444444445,49.869077777777775,niedrig,0
45,8.647013888888889,49.87547777777778,mittel,0
46,8.667330555555555,49.862994444444446,mittel,0
47,8.653744444444445,49.87218611111111,kein,0
48,8.676341666666666,49.90584444444444,kein,0
49,8.641555555555556,49.87849722222222,kein,0
50,8.653025,49.88936666666667,hoch,0
51,8.652194444444445,49.886825,hoch,0
52,8.651852777777778,49.88469444444444,kein,0
53,8.652672222222222,49.884025,mittel,0
54,8.679224999999999,49.904127777777774,kein,0
55,8.657002777777778,49.88373055555555,mittel,0
56,8.660341666666667,49.88299444444444,hoch,0
57,8.660294444444444,49.88283611111111,mittel,0
58,8.664986111111112,49.881880555555554,hoch,0
59,8.668966666666666,49.88539166666666,kein,0
60,8.670469444444445,49.884480555555555,kein,0
61,8.66786111111111,49.880919444444444,mittel,0
62,8.66911111111111,49.8806,kein,0
63,8.676619444444444,49.88155,hoch,0
64,8.680888888888889,49.89805277777778,niedrig,0
65,8.679277777777777,49.88218333333334,hoch,0
66,8.618825000000001,49.878461111111115,kein,0
67,8.617416666666667,49.875816666666665,kein,0
68,8.621833333333333,49.875572222222225,hoch,0
69,8.621952777777778,49.86866111111111,hoch,0
70,8.627816666666668,49.86942777777778,mittel,0
71,8.631186111111111,49.87029722222222,mittel,0
72,8.632619444444446,49.87106388888889,hoch,0
73,8.65485,49.89769444444445,kein,0
74,8.6323,49.875080555555556,kein,0
75,8.635566666666666,49.87083333333334,hoch,0
76,8.6368,49.87286666666667,kein,0
77,8.63875,49.874633333333335,kein,0
78,8.63776111111111,49.871180555555554,hoch,0
79,8.639852777777778,49.87144444444444,kein,0
80,8.640888888888888,49.87320277777778,kein,0
81,8.64123611111111,49.874325,hoch,0
82,8.646238888888888,49.87889166666667,niedrig,0
83,8.647830555555554,49.87583055555556,kein,0
84,8.6534,49.893141666666665,kein,0
85,8.650602777777777,49.878375,niedrig,0
86,8.65098888888889,49.881275,mittel,0
87,8.65338888888889,49.882666666666665,hoch,0
88,8.655975,49.88206944444445,hoch,0
89,8.660994444444444,49.880969444444446,hoch,1
90,8.660836111111111,49.88030277777778,hoch,0
91,8.664513888888889,49.880341666666666,hoch,0
92,8.661008333333333,49.87804166666667,kein,0
93,8.666291666666668,49.87878055555556,mittel,0
94,8.663883333333334,49.87309166666667,niedrig,0
95,8.631813888888889,49.88821111111111,kein,0
96,8.671472222222222,49.87558055555556,hoch,0
97,8.669308333333333,49.87416944444445,hoch,0
98,8.671125,49.87466944444444,hoch,0
99,8.672191666666667,49.87465,mittel,0
100,8.641838888888888,49.87286111111111,hoch,0
101,8.64453611111111,49.87332222222222,mittel,0
102,8.642416666666666,49.87184166666667,kein,0
103,8.644194444444445,49.87220277777778,hoch,0
104,8.644708333333332,49.872125,kein,0
105,8.645016666666667,49.871586111111114,kein,0
106,8.647869444444444,49.888894444444446,kein,0
107,8.642413888888889,49.86946944444445,niedrig,0
108,8.64311388888889,49.869166666666665,hoch,0
109,8.648313888888888,49.875258333333335,kein,0
110,8.650372222222222,49.874233333333336,hoch,0
111,8.656994444444445,49.877583333333334,kein,0
112,8.659722222222223,49.875708333333336,hoch,0
113,8.633255555555555,49.858075,niedrig,0
114,8.633605555555555,49.869933333333336,niedrig,0
115,8.636025,49.870525,mittel,0
116,8.628494444444446,49.88494444444444,kein,0
117,8.63851388888889,49.870869444444445,kein,0
118,8.641627777777778,49.870694444444446,kein,0
